TIME;LC_INIT
735.3842;0.0069928286
735.4047;-0.0012337671
735.4251;-0.040842086
735.4455;-0.06745985
735.466;-0.07195166
735.4864;-0.07298578
735.5068;-0.056076594
735.5273;-0.01552961
735.5477;0.0019846715
735.5681;0.0019770737
735.5886;0.0011948555
735.609;0.0010122076
735.6294;0.0003546239
735.6498;-0.00028004433
735.6703;-0.0007602606
735.6907;-0.0012545999
735.7111;-0.0016937484
735.7316;-0.0019970897
735.752;-0.0027483164
735.7724;-0.003034075
735.7929;-0.0036152813
735.8133;-0.003789151
735.8337;-0.004263902
735.8542;-0.0044731456
735.8746;-0.0042396598
735.895;-0.0045712898
735.9155;-0.004471333
735.9359;-0.00419997
735.9563;-0.003671889
735.9768;-0.0036587596
735.9972;-0.003714982
736.0176;-0.0034439177
736.0381;-0.0031562613
736.0585;-0.0029532015
736.0789;-0.0024630737
736.0994;-0.0017534804
736.1198;-0.0017276951
736.1402;-0.0012175083
736.1607;-0.0014559913
736.1811;-0.00079842267
736.2015;1.9214753e-05
736.222;-0.00018182548
736.2424;-0.00014021773
736.2628;0.00052593724
736.2833;0.0009992399
736.3037;0.0032180871
736.3241;0.0018007361
736.3446;0.001932452
736.365;0.0023882028
736.3854;0.002925426
736.4059;0.003571819
736.4263;0.003560399
736.4467;0.003879779
736.4672;0.003616661
736.4876;0.004040084
736.508;0.0045741866
736.5285;0.004663603
736.5489;0.0044067814
736.5693;0.004807619
736.5898;0.0052558486
736.6102;0.0050026975
736.6306;0.005477581
736.6511;0.005763127
736.6715;0.005688492
736.6919;0.005947213
736.7124;0.0062230276
736.7328;0.0058042435
736.7532;0.0066607124
736.7737;0.0065353024
736.7941;0.0062385798
736.8145;0.0060785706
736.835;0.0057961834
736.8554;0.006092349
736.8758;0.006000646
736.8963;0.005739389
736.9167;0.005549179
736.9371;0.004857229
736.9576;0.005056753
736.978;0.0052462253
736.9984;0.0055453875
737.0189;0.0028534604
737.0393;-0.00094836415
737.0597;-0.002269655
737.0802;-0.002819549
737.1006;0.0010190594
737.121;0.0041020447
737.1415;0.012455924
737.1619;0.0032433956
737.1823;0.0026738353
737.2028;0.0023744635
737.2232;0.0022959295
737.2436;0.0013604605
737.2641;0.0006127611
737.2845;0.00029545592
737.3049;
737.3254;-0.00061059167
737.3458;-0.0014005966
737.3662;-0.0020624523
737.3867;-0.0024366553
737.4071;-0.002450483
737.4275;-0.002722439
737.448;-0.002349743
737.4684;-0.0033321332
737.4888;-0.0026763144
737.5093;-0.0030906568
737.5297;-0.003478571
737.5501;-0.0034846317
737.5706;-0.0030302624
737.591;-0.0029772285
737.6114;-0.0030245152
737.6319;-0.0030724825
